Запрос,Описание проверки,№,,Статус,Ссылка на баг-репорт
,"ввести английские буквы (ivan) в поле password и логин ""ninja""",67,Код и статус ответа: 400: Bad Request,FAILED,"5V-118 Можно ввести недопустимые символы в поле ""password"", при отправке POST /api/v1/courier запроса на создание курьера"
,,68,Ошибок в структуре ответа нет,FAILED,
,,69,Курьер не создался,FAILED,
,"ввести спец.символы (№№№№) в поле password и логин ""ninja""",70,Код и статус ответа: 400: Bad Request,FAILED,"5V-118 Можно ввести недопустимые символы в поле ""password"", при отправке POST /api/v1/courier запроса на создание курьера"
,,71,Ошибок в структуре ответа нет,FAILED,
,,72,Курьер не создался,FAILED,
,"ввести пробел (12 3) в поле password и логин ""ninja""",73,Код и статус ответа: 400: Bad Request,FAILED,"5V-118 Можно ввести недопустимые символы в поле ""password"", при отправке POST /api/v1/courier запроса на создание курьера"
,,74,Ошибок в структуре ответа нет,FAILED,
,,75,Курьер не создался,FAILED,
,"оставить пустым поле password и ввести логин ""ninja""",76,Код и статус ответа: 400: Bad Request,PASSED,
,,77,Ошибок в структуре ответа нет,PASSED,
,,78,Курьер не создался,PASSED,
,Задать ключ password в теле запроса некорректно: вместо password - pass,79,Код и статус ответа: 400: Bad Request,PASSED,
,,80,Ошибок в структуре ответа нет,PASSED,
,,81,Курьер не создался,PASSED,
,Проверка вводимых данных в поле firstName:,,,,
,201 created:,,,,
,"ввести латинские буквы, длины 2 (iv) в поле firstName, логин ""ninja"" и пароль ""1234"" ",82,Код и статус ответа: 201: Created,PASSED,
,,83,Ошибок в структуре ответа нет,PASSED,
,,84,Курьер создался,PASSED,
,"ввести латинские буквы, длины 3 (iva) в поле firstName, логин ""ninja"" и пароль ""1234"" ",85,Код и статус ответа: 201: Created,PASSED,
,,86,Ошибок в структуре ответа нет,PASSED,
,,87,Курьер создался,PASSED,
,"ввести латинские буквы, длины 5 (ivann) в поле firstName, логин ""ninja"" и пароль ""1234"" ",88,Код и статус ответа: 201: Created,PASSED,
,,89,Ошибок в структуре ответа нет,PASSED,
,,90,Курьер создался,PASSED,
,"ввести латинские буквы, длины 9 (ivanivann) в поле firstName, логин ""ninja"" и пароль ""1234"" ",91,Код и статус ответа: 201: Created,PASSED,
,,92,Ошибок в структуре ответа нет,PASSED,
,,93,Курьер создался,PASSED,
,"ввести латинские буквы, длины 10 (ivanivaniv) в поле firstName, логин ""ninja"" и пароль ""1234"" ",94,Код и статус ответа: 201: Created,PASSED,
,,95,Ошибок в структуре ответа нет,PASSED,
,,96,Курьер создался,PASSED,
,"ввести русские буквы (иван) в поле firstName, логин ""ninja"" и пароль ""1234"" ",97,Код и статус ответа: 201: Created,PASSED,
,,98,Ошибок в структуре ответа нет,PASSED,
,,99,Курьер создался,PASSED,
,"оставить пустым поле firstName, ввести логин ""ninja"" и пароль ""1234""",100,Код и статус ответа: 201: Created,PASSED,
,,101,Ошибок в структуре ответа нет,PASSED,
,,102,Курьер создался,PASSED,
,"Проверить что имя добавилось в поле firstName таблицы ""Couriers""",103,Код и статус ответа: 201: Created,PASSED,
,,104,Ошибок в структуре ответа нет,PASSED,
,,105,Курьер создался,PASSED,
,400 Bad Request:,,,,
,"ввести латинские буквы, длины 1 (i) в поле firstName, логин ""ninja"" и пароль ""1234"" ",106,Код и статус ответа: 400: Bad Request,FAILED,"5V-119 Можно ввести 1 символ в поле ""firstName"", при отправке POST /api/v1/courier запроса на создание курьера"
,,107,Ошибок в структуре ответа нет,FAILED,
,,108,Курьер не создался,FAILED,
,"ввести латинские буквы, длины 11 (ivanivaniva) в поле firstName, логин ""ninja"" и пароль ""1234"" ",109,Код и статус ответа: 400: Bad Request,FAILED,"5V-120 Можно ввести 11 символов в поле ""firstName"", при отправке POST /api/v1/courier запроса на создание курьера"
,,110,Ошибок в структуре ответа нет,FAILED,
,,111,Курьер не создался,FAILED,
,"ввести латинские буквы, длины 20 (ivanivanivanivanivan) в поле firstName, логин ""ninja"" и пароль ""1234"" ",112,Код и статус ответа: 400: Bad Request,FAILED,"5V-120 Можно ввести 11 символов в поле ""firstName"", при отправке POST /api/v1/courier запроса на создание курьера"
,,113,Ошибок в структуре ответа нет,FAILED,
,,114,Курьер не создался,FAILED,
,"ввести спец.символы в поле firstName (№№№), логин ""ninja"" и пароль ""1234""",115,Код и статус ответа: 400: Bad Request,FAILED,"5V-121 Можно ввести недопустимые символы в поле ""firstName"", при отправке POST /api/v1/courier запроса на создание курьера"
,,116,Ошибок в структуре ответа нет,FAILED,
,,117,Курьер не создался,FAILED,
,"ввести цифры в поле firstName (123), логин ""ninja"" и пароль ""1234""",118,Код и статус ответа: 400: Bad Request,FAILED,"5V-121 Можно ввести недопустимые символы в поле ""firstName"", при отправке POST /api/v1/courier запроса на создание курьера"
,,119,Ошибок в структуре ответа нет,FAILED,
,,120,Курьер не создался,FAILED,
,"ввести пробел в поле firstName (ив ан), логин ""ninja"" и пароль ""1234""",121,Код и статус ответа: 400: Bad Request,FAILED,"5V-121 Можно ввести недопустимые символы в поле ""firstName"", при отправке POST /api/v1/courier запроса на создание курьера"
,,122,Ошибок в структуре ответа нет,FAILED,
,,123,Курьер не создался,FAILED,
,Задать ключ firstName в теле запроса некорректно: вместо firstName - name,124,Код и статус ответа: 400: Bad Request,FAILED,"5V-122 Можно создать курьера, если ключ ""firstName"" указан некорректно, при отправке POST /api/v1/courier запроса на создание курьера"
,,125,Ошибок в структуре ответа нет,FAILED,
,,126,Курьер не создался,FAILED,
Удаление курьера: DELETE /api/v1/courier/:id,Проверка вводимых данных в поле id:,,,,
,200 OK:,,,,
,Ввести id заранее созданого курьера (1),127,Код и статус ответа: 200: OK,PASSED,
,,128,Ошибок в структуре ответа нет,PASSED,
,,129,Курьер удалился,PASSED,
,При удаление курьера связанные с ним заказы в таблице Orders - стираются,130,Код и статус ответа: 200: OK,PASSED,
,,131,Ошибок в структуре ответа нет,PASSED,
,,132,Курьер удалился,PASSED,
,,133,Связанные с курьером заказы удалились,FAILED,"5V-123 Связанные с курьером заказы не удаляются, при отправке DELETE /api/v1/courier/:id запроса на удаление курьера"
,400 Bad Request:,,,,
,Не вводить id курьера,134,Код и статус ответа: 400: Bad Request,FAILED,"5V-124 Код 404 и статус Not Found, при отправке DELETE /api/v1/courier/:id запроса, без указания id на удаление курьера"
,,135,Ошибок в структуре ответа нет,FAILED,
,,136,Курьер не удалился,PASSED,
,404 Not Found:,,,,
,"
Ввести id несуществующего курьера (105)",137,Код и статус ответа: 404: Not Found,PASSED,
,,138,Ошибок в структуре ответа нет,FAILED,"5V-125 Ошибка в структуре ответа, при отправке DELETE /api/v1/courier/:id запроса, с несуществующим id на удаление курьера"
,,139,Курьер не удалился,PASSED,
Получение данных заказа по его номеру: GET /api/v1/orders/track,Проверка вводимых данных в параметр t:,,,,
,200 OK:,,,,
,Ввести номер заранее созданого заказа,140,Код и статус ответа: 200: OK,PASSED,
,,141,Ошибок в структуре ответа нет,PASSED,
,,142,Данные получены,PASSED,
,400 Bad Request:,,,,
,Не вводить номер заказа,143,Код и статус ответа: 400: Bad Request,PASSED,
,,144,Ошибок в структуре ответа нет,PASSED,
,,145,Данные не получены,PASSED,
,404 Not Found:,,,,
,"
Ввести номер несуществующего заказа 999999",146,Код и статус ответа: 404: Not Found,PASSED,
,,147,Ошибок в структуре ответа нет,PASSED,
,,148,Данные не получены,PASSED,
